,,,,,,,,
,,,,,,,,
,Starting SOC,,,,,,,
,100% (10 MWh),,,,,,,
,,,,,,,,
,,,,,,,,
,Date/Time,Hour Ending,WFTANK Real-Time LMP,WFTANK Day-Ahead LMP,RRS (spinning reserve),REGUP,,
,45183.625,16, $	24.57 , $	39.24 , $	10.00 , $	10.00 ,,
,45183.6666666667,17, $	31.40 , $	40.53 , $	12.08 , $	10.86 ,,
,45183.7083333333,17, $	43.11 , $	34.47 , $	10.00 , $	10.00 ,,
,45183.75,19, $	21.59 , $	27.84 , $	10.00 , $	10.62 ,,
,45183.7916666667,20, $	(10.21), $	17.59 , $	10.00 , $	8.00 ,,
,45183.8333333333,20, $	(2.36), $	10.82 , $	9.93 , $	1.98 ,,
,45183.875,22, $	26.04 , $	25.63 , $	5.41 , $	4.19 ,,
,45183.9166666667,23, $	22.91 , $	26.68 , $	6.68 , $	5.46 ,,
,45183.9583333333,23, $	20.68 , $	22.62 , $	4.38 , $	3.16 ,,
,45184,1, $	21.98 , $	22.10 , $	2.40 , $	2.20 ,,
,45184.0416666667,2, $	19.87 , $	19.98 , $	1.69 , $	1.47 ,,
,45184.0833333333,2, $	19.63 , $	20.72 , $	1.50 , $	1.32 ,,
,45184.125,4, $	19.58 , $	22.94 , $	1.50 , $	1.46 ,,
,45184.1666666667,5, $	20.78 , $	24.18 , $	1.56 , $	1.56 ,,
,45184.2083333333,5, $	22.81 , $	25.19 , $	1.99 , $	2.60 ,,
,45184.25,7, $	25.20 , $	30.46 , $	1.69 , $	2.95 ,,
,45184.2916666667,8, $	27.29 , $	29.22 , $	1.69 , $	1.80 ,,
,45184.3333333333,8, $	24.57 , $	24.01 , $	1.99 , $	2.20 ,,
,45184.375,10, $	22.89 , $	23.87 , $	4.50 , $	4.50 ,,
,45184.4166666667,11, $	23.41 , $	23.87 , $	3.40 , $	5.65 ,,
,45184.4583333333,11, $	26.86 , $	26.50 , $	4.28 , $	7.42 ,,
,45184.5,13, $	46.96 , $	28.65 , $	5.00 , $	8.14 ,,
,45184.5416666667,14, $	36.41 , $	32.86 , $	6.00 , $	9.14 ,,
,45184.5833333333,14, $	123.88 , $	36.18 , $	5.70 , $	7.07 ,,
,45184.625,16, $	35.61 , $	40.67 , $	10.00 , $	10.00 ,,
,45184.6666666667,17, $	37.26 , $	38.20 , $	10.00 , $	9.78 ,,
,45184.7083333333,17, $	61.35 , $	26.26 , $	10.00 , $	10.00 ,,
,45184.75,19, $	6.31 , $	13.80 , $	10.00 , $	10.00 ,,
,45184.7916666667,20, $	(16.62), $	8.39 , $	8.00 , $	7.00 ,,
,45184.8333333333,20, $	30.95 , $	4.15 , $	7.72 , $	1.98 ,,
,45184.875,22, $	27.99 , $	18.18 , $	5.76 , $	5.00 ,,
,45184.9166666667,23, $	14.79 , $	26.30 , $	6.04 , $	5.16 ,,
,45184.9583333333,23, $	24.54 , $	24.34 , $	4.66 , $	3.96 ,,
,45185,1, $	22.80 , $	23.51 , $	2.30 , $	2.30 ,,
,45185.0416666667,2, $	20.74 , $	23.02 , $	1.80 , $	1.80 ,,
,45185.0833333333,2, $	19.93 , $	23.78 , $	1.50 , $	1.50 ,,
,45185.125,4, $	20.35 , $	23.40 , $	1.36 , $	1.36 ,,
,45185.1666666667,5, $	19.74 , $	22.92 , $	1.48 , $	1.48 ,,
,45185.2083333333,5, $	18.64 , $	23.10 , $	1.56 , $	1.95 ,,
,45185.25,7, $	18.38 , $	25.26 , $	1.50 , $	2.50 ,,
,45185.2916666667,8, $	17.43 , $	24.94 , $	1.50 , $	1.83 ,,
,45185.3333333333,8, $	18.19 , $	23.65 , $	1.69 , $	2.02 ,,
,45185.375,10, $	20.50 , $	23.36 , $	3.19 , $	3.72 ,,
,45185.4166666667,11, $	22.80 , $	23.64 , $	3.00 , $	4.00 ,,
,45185.4583333333,11, $	37.51 , $	24.32 , $	3.69 , $	5.67 ,,
,45185.5,13, $	29.89 , $	28.07 , $	4.99 , $	6.70 ,,
,45185.5416666667,14, $	38.33 , $	29.95 , $	5.00 , $	6.98 ,,
,45185.5833333333,14, $	24.55 , $	29.10 , $	5.00 , $	5.93 ,,
,45185.625,16, $	23.31 , $	29.91 , $	8.00 , $	8.33 ,,
,45185.6666666667,17, $	24.87 , $	29.08 , $	7.49 , $	7.49 ,,
,45185.7083333333,17, $	23.96 , $	28.66 , $	10.00 , $	10.49 ,,
,45185.75,19, $	26.29 , $	40.93 , $	10.00 , $	11.00 ,,
